"Country.Code","NY.GDP.PCAP.CD","NY.GNP.PCAP.CD","SH.IMM.IDPT","SH.IMM.HEPB","SH.IMM.MEAS","SH.TBS.INCD","ST.INT.ARVL","AG.LND.TOTL.K2","TX.VAL.MRCH.WL.CD","TX.VAL.MRCH.HI.ZS","TM.VAL.MRCH.HI.ZS","TG.VAL.TOTL.GD.ZS","NY.GSR.NFCY.CD","SP.POP.0014.TO.ZS","SP.POP.1564.TO.ZS","SP.POP.65UP.TO.ZS","EN.POP.DNST","SP.POP.TOTL","SP.RUR.TOTL.ZS","BG.GSR.NFSV.GD.ZS","SH.TBS.DTEC.ZS","EG.ELC.ACCS.ZS","SP.DYN.LE00.IN","SM.POP.NETM","SH.TBS.CURE.ZS","SH.UHC.SRVS.CV.XD","SH.DTH.COMM.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.GHED.PC.CD","SH.XPD.PVTD.PC.CD","SM.POP.TOTL.ZS"
"AFG",520.8966027,550,66,66,64,189,2700,652860,875181037,4.120524152,11.42644208,42.77236487,122140013.6,43.09017551,54.32489755,2.58492694,56.93776001,37172386,74.505,10.97609813,69,97.7,64.13,-314602,91,37,36.4,57.24876048,2.93575239,44.31111664,1.175546927
"ALB",5268.848504,4860,99,99,94,18,5340000,27400,3099404234,77.61730576,64.4000764,58.38105927,-17188917.97,17.67287372,68.58239036,13.74473591,104.6122628,2866376,39.681,39.26731008,87,100,78.333,-69998,87,59,2.9,271.5430426,112.301534,157.4431038,1.98903641
"DZA",4114.715061,3920,91,91,80,69,2657000,2381740,41168251685,73.17380197,37.63034514,50.57897988,-2591930619,30.14867859,63.48882487,6.362496545,17.73007507,42228429,27.371,8.554381156,80,100,76.499,-50002,91,78,14.8,260.4125793,176.2653157,84.08603227,0.611072023
"AND",42029.76274,280,99,98,99,3,3042000,470,8610694,1.50321261,0.501550931,49.35961116,-67488588851,12.27828264,47.42066751,1.085000985,163.8425532,77006,11.938,3.971727974,87,100,52.24,-3266243,100,25,1.3,3834.730581,1883.995436,1950.735145,59.7136492
"AGO",3432.385736,3370,59,59,50,355,218000,1246700,40526580490,22.52635042,52.08702267,54.43542542,-3737778762,46.80892471,50.97470164,2.216373648,24.71305206,30809762,34.486,10.13761953,61,41.88623047,60.379,32066,25,40,63.4,95.22079857,42.02879929,49.72439697,0.42700468
"ATG",16726.98081,15890,95,95,96,6,269000,440,195254929,65.25314862,80.01365517,36.5087213,-82615481.48,22.08109175,69.11908273,8.79982552,218.8318182,96286,75.401,100.8917133,87,100,76.752,0,100,73,11.9,623.1146259,377.3169971,245.6988699,30.58550611
"ARG",11683.94962,12390,86,86,94,27,6942000,2736690,61665676000,39.19632536,38.1922236,24.44123118,-18629437622,24.76093384,64.12127729,11.11778888,16.2585101,44494502,8.13,7.447108033,87,100,76.372,24000,57,76,15.9,955.2009489,710.9350108,238.8796786,4.805292335
"ARM",4212.070943,4230,92,92,95,31,1652000,28470,2412432662,38.32849259,34.64933833,59.31751518,161161153.6,20.63342192,68.11276042,11.25381766,103.6802248,2951776,36.851,34.56626875,80,100,74.797,-24989,79,69,2.8,358.841748,59.03871069,293.7054364,6.335892888
"ABW",25630.26649,23630,25,25,30,5.4,1082000,180,69472660,62.51114899,85.48346736,56.97727163,-170558659.2,17.80244697,68.64660589,13.55094714,588.0277778,105845,56.589,110.6924012,87,100,76.01,1004,93,25,1.3,16.36043526,2.43144068,1.64154032,34.76210186
"AUS",57373.68668,53230,95,95,95,6.6,9246000,7692020,2.54692e+11,47.4017486,52.72764952,34.35173347,-44777149058,19.19061704,65.15290773,15.65647523,3.249129487,24992369,13.988,9.948411804,87,100,82.49756098,791229,82,87,4.6,5002.358277,3416.982309,1585.375938,28.21840969
"AUT",51461.95478,49310,85,85,94,7.1,30816000,82522.99805,1.84815e+11,86.12361244,85.45982878,83.03465318,-1249547958,14.29794763,66.70048591,19.00156646,107.2069267,8847037,41.703,30.13426419,74,100,81.64146341,324998,69,79,2.6,4688.280204,3399.489142,1288.791061,17.46572625
"AZE",4721.178087,4050,95,95,96,63,2633000,82670,19458632500,69.64829363,38.26600036,69.23801838,-2459589118,23.36956986,70.43524739,6.195182751,120.2653199,9942334,44.32,24.37915792,80,100,72.693,6002,84,65,8.8,268.1558652,53.53440392,213.6139089,2.709061584
"BHS",32217.87159,30520,90,90,89,14,1633000,10010,2065413228,39.17604521,89.66968358,33.72369109,-682252800,22.48487567,70.25752197,7.257602357,38.52547453,385640,16.975,44.70797724,87,100,73.554,4999,71,75,16.9,1835.228202,915.058073,912.5020448,15.28430309
"BHR",24050.75751,21890,99,99,99,11,12045000,778.0000305,7415076488,70.81475829,65.24609567,87.3597946,-2.076e+09,19.25431012,78.319356,2.426333878,2017.2737,1569439,10.713,53.33142623,87,100,77.032,239000,68,77,6.9,1099.362291,674.6148282,424.7474626,51.12678501
