Territory,Code,Lat,Long
Andorra,AND,42.546245,1.601554
United Arab Emirates (the),ARE,23.424076,53.847818
Afghanistan,AFG,33.93911,67.709953
Antigua and Barbuda,ATG,17.060816,-61.796428
Albania,ALB,41.153332,20.168331
Armenia,ARM,40.069099,45.038189
Angola,AGO,-11.202692,17.873887
Argentina,ARG,-38.416097,-63.616672
Austria,AUT,47.516231,14.550072
Australia,AUS,-25.274398,133.775136
Aruba,ABW,12.52111,-69.968338
Azerbaijan,AZE,40.143105,47.576927
Bosnia and Herzegovina,BIH,43.915886,17.679076
Barbados,BRB,13.193887,-59.543198
Bangladesh,BGD,23.684994,90.356331
Belgium,BEL,50.503887,4.469936
Burkina Faso,BFA,12.238333,-1.561593
Bulgaria,BGR,42.733883,25.48583
Bahrain,BHR,25.930414,50.637772
Burundi,BDI,-3.373056,29.918886
Benin,BEN,9.30769,2.315834
Bermuda,BMU,32.321384,-64.75737
Brunei Darussalam,BRN,4.535277,114.727669
Bolivia (Plurinational State of),BOL,-16.290154,-63.588653
Brazil,BRA,-14.235004,-51.92528
Bahamas (the),BHS,25.03428,-77.39628
Bhutan,BTN,27.514162,90.433601
Botswana,BWA,-22.328474,24.684866
Belarus,BLR,53.709807,27.953389
Belize,BLZ,17.189877,-88.49765
Canada,CAN,56.130366,-106.346771
Democratic Republic of the Congo (the),COD,-4.038333,21.758664
Central African Republic (the),CAF,6.611111,20.939444
Congo (the),COG,-0.228021,15.827659
Switzerland,CHE,46.818188,8.227512
Côte d'Ivoire,CIV,7.539989,-5.54708
Chile,CHL,-35.675147,-71.542969
Cameroon,CMR,7.369722,12.354722
China,CHN,35.86166,104.195397
Colombia,COL,4.570868,-74.297333
Costa Rica,CRI,9.748917,-83.753428
Cuba,CUB,21.521757,-77.781167
Cabo Verde,CPV,16.002082,-24.013197
Cyprus,CYP,35.126413,33.429859
Czechia,CZE,49.817492,15.472962
Germany,DEU,51.165691,10.451526
Djibouti,DJI,11.825138,42.590275
Denmark,DNK,56.26392,9.501785
Dominica,DMA,15.414999,-61.370976
Dominican Republic (the),DOM,18.735693,-70.162651
Algeria,DZA,28.033886,1.659626
Ecuador,ECU,-1.831239,-78.183406
Estonia,EST,58.595272,25.013607
Egypt,EGY,26.820553,30.802498
Eritrea,ERI,15.179384,39.782334
Spain,ESP,40.463667,-3.74922
Ethiopia,ETH,9.145,40.489673
Finland,FIN,61.92411,25.748151
Fiji,FJI,-16.578193,179.414413
Micronesia (Federated States of),FSM,7.425554,150.550812
Faroe Islands,FRO,61.892635,-6.911806
France,FRA,46.227638,2.213749
Gabon,GAB,-0.803689,11.609444
United Kingdom of Great Britain and Northern Ireland (the),GBR,55.378051,-3.435973
Grenada,GRD,12.262776,-61.604171
Georgia,GEO,42.315407,43.356892
French Guiana,GHA,3.933889,-53.125782
Ghana,GHA,7.946527,-1.023194
Greenland,GRL,71.706936,-42.604303
Gambia (the),GMB,13.443182,-15.310139
