Country Code,Topic,Indicator Name,Needed,Indicator Code,Important,Indicator ID,Combined Feature,Transfered,Note,Short definition,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,Environment: Energy production & use,Access to electricity (% of population),1,EG.ELC.ACCS.ZS,1,199,0,2,0,0,,,,,,23,26.92931747,33.01575089,42.4,45.23712158,42.7,43.22201891,69.1,70.15348053,89.5,71.5,97.7,97.7,,
AFG,Health: Risk factors,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1,SH.DTH.COMM.ZS,1,932,0,0,0,0,61.4,,,,,,,,,,50.2,,,,,40.6,36.4,,,
AFG,Health: Disease prevention,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),1,SH.MLR.TRET.ZS,1,974,0,0,0,0,,,,,,,,,,,,,,,,11.8,,,,
AFG,Health: Health systems,"Community health workers (per 1,000 people)",1,SH.MED.CMHW.P3,1,968,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFG,Social Protection & Labor: Performance,Coverage of social safety net programs (% of population),1,per_sa_allsa.cov_pop_tot,1,741,0,0,0,0,,,,,,,,15.26276264,,,,8.820582327,,,,,,,,
AFG,Public Sector: Policy & institutions,CPIA macroeconomic management rating (1=low to 6=high),1,IQ.CPA.MACR.XQ,1,482,0,0,0,0,,,,,,,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,
AFG,Public Sector: Policy & institutions,CPIA social protection rating (1=low to 6=high),1,IQ.CPA.PROT.XQ,1,486,0,0,0,0,,,,,,,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
AFG,Health: Health systems,Current health expenditure per capita (current US$),1,SH.XPD.CHEX.PC.CD,1,1052,0,0,0,0,,,16.24954214,17.49073742,20.92708722,24.44651183,28.41666243,31.84018306,38.70049248,42.30451021,45.5877498,51.5532587,52.21850635,55.96754976,60.11276091,60.0888133,57.24876048,,,
AFG,Health: Risk factors,Diabetes prevalence (% of population ages 20 to 79),1,SH.STA.DIAB.ZS,1,996,0,0,0,0,,,,,,,,,,,8.6,,,,,,,,,9.2
AFG,Environment: Land use,Disaster risk reduction progress score (1-5 scale; 5=best),1,EN.CLC.DRSK.XQ,1,257,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFG,Health: Health systems,Domestic general government health expenditure per capita (current US$),1,SH.XPD.GHED.PC.CD,1,1060,0,0,0,0,,,0.14485228,1.27340344,1.15837113,1.300395,1.33175787,1.80004223,2.36885593,2.29179063,2.49575809,2.89019183,2.26727254,2.81783284,2.98174803,3.10793734,2.93575239,,,
AFG,Health: Health systems,Domestic private health expenditure per capita (current US$),1,SH.XPD.PVTD.PC.CD,1,1066,0,0,0,0,,,13.87314503,15.05413633,17.6891627,19.30543162,21.83109405,24.88946684,29.18148257,30.78890247,36.01279563,37.76542674,38.89558597,40.32342341,43.9159313,47.09899179,44.31111664,,,
