Time,Susceptible,Infected,Recovered/Deaths,Country
2020-03-17,36967232,114118,91034,Afghanistan
2020-03-18,36947725,127900,96759,Afghanistan
2020-03-19,36937107,135400,99877,Afghanistan
2020-03-20,36913981,151732,106672,Afghanistan
2020-03-21,36901402,160614,110369,Afghanistan
2020-03-22,36874017,179946,118421,Afghanistan
2020-03-23,36843367,201577,127440,Afghanistan
2020-03-24,36826697,213339,132348,Afghanistan
2020-03-25,36790400,238941,143043,Afghanistan
2020-03-26,36770660,252861,148864,Afghanistan
2020-03-27,36727687,283151,161546,Afghanistan
2020-03-28,36679618,317015,175751,Afghanistan
2020-03-29,36653497,335409,183478,Afghanistan
2020-03-30,36596705,375382,200298,Afghanistan
2020-03-31,36565878,397064,209443,Afghanistan
2020-04-01,36498920,444116,229348,Afghanistan
2020-04-02,36424214,496571,251599,Afghanistan
2020-04-03,36383682,525017,263686,Afghanistan
2020-04-04,36295661,586757,289966,Afghanistan
2020-04-05,36247919,620226,304239,Afghanistan
2020-04-06,36144293,692819,335272,Afghanistan
2020-04-07,36028847,773599,369939,Afghanistan
2020-04-08,35966308,817313,388763,Afghanistan
2020-04-09,35830787,911925,429672,Afghanistan
2020-04-10,35757464,963046,451874,Afghanistan
2020-04-11,35598798,1073500,500086,Afghanistan
2020-04-12,35422852,1195713,553820,Afghanistan
2020-04-13,35327907,1261544,582934,Afghanistan
2020-04-14,35123045,1403316,646024,Afghanistan
2020-04-15,35012700,1479528,680156,Afghanistan
2020-04-16,34775798,1642659,753927,Afghanistan
2020-04-17,34648738,1729889,793758,Afghanistan
2020-04-18,34375626,1916886,879873,Afghanistan
2020-04-19,34075022,2122004,975358,Afghanistan
2020-04-20,33913662,2231818,1026905,Afghanistan
2020-04-21,33567469,2466718,1138198,Afghanistan
2020-04-22,33382147,2592056,1198181,Afghanistan
2020-04-23,32985952,2859004,1327428,Afghanistan
2020-04-24,32554420,3148102,1469863,Afghanistan
2020-04-25,32324988,3301060,1546336,Afghanistan
2020-04-26,31838118,3623845,1710421,Afghanistan
2020-04-27,31580458,3793639,1798287,Afghanistan
2020-04-28,31036263,4149812,1986309,Afghanistan
2020-04-29,30453197,4527603,2191584,Afghanistan
2020-04-30,30147011,4724352,2301021,Afghanistan
2020-05-01,29505329,5132895,2534161,Afghanistan
2020-05-02,29169881,5344371,2658133,Afghanistan
2020-05-03,28469287,5781624,2921474,Afghanistan
2020-05-04,27728761,6237758,3205866,Afghanistan
2020-05-05,27344729,6471465,3356191,Afghanistan
2020-05-06,26551803,6947099,3673482,Afghanistan
2020-05-07,26143985,7187834,3840565,Afghanistan
