Time,Susceptible,Infected,Recovered,Deaths,Country
2020-03-17,36967306,114070,82532,8476,Afghanistan
2020-03-18,36947972,127737,86934,9741,Afghanistan
2020-03-19,36937455,135170,89329,10429,Afghanistan
2020-03-20,36914563,151347,94546,11928,Afghanistan
2020-03-21,36902120,160138,97383,12743,Afghanistan
2020-03-22,36875047,179261,103558,14518,Afghanistan
2020-03-23,36844773,200640,110468,16503,Afghanistan
2020-03-24,36828319,212257,114226,17583,Afghanistan
2020-03-25,36792515,237528,122408,19934,Afghanistan
2020-03-26,36773054,251259,126859,21213,Afghanistan
2020-03-27,36730714,281122,136550,23998,Afghanistan
2020-03-28,36683388,314484,147397,27115,Afghanistan
2020-03-29,36657684,332596,153295,28809,Afghanistan
2020-03-30,36601825,371938,166125,32496,Afghanistan
2020-03-31,36571516,393274,173096,34499,Afghanistan
2020-04-01,36505737,439532,188259,38856,Afghanistan
2020-04-02,36432424,491038,205199,43723,Afghanistan
2020-04-03,36392676,518948,214395,46366,Afghanistan
2020-04-04,36306414,579487,234376,52107,Afghanistan
2020-04-05,36259654,612287,245220,55223,Afghanistan
2020-04-06,36158213,683397,268781,61993,Afghanistan
2020-04-07,36045275,762483,295077,69549,Afghanistan
2020-04-08,35984122,805266,309347,73649,Afghanistan
2020-04-09,35851659,897831,340339,82555,Afghanistan
2020-04-10,35780018,947830,357151,87385,Afghanistan
2020-04-11,35625048,1055825,393641,97870,Afghanistan
2020-04-12,35453275,1175271,434288,109550,Afghanistan
2020-04-13,35360610,1239593,456304,115876,Afghanistan
2020-04-14,35160727,1378073,504002,129582,Afghanistan
2020-04-15,35053093,1452495,529801,136995,Afghanistan
2020-04-16,34821409,1612340,585606,153030,Afghanistan
2020-04-17,34697265,1697732,615708,161679,Afghanistan
2020-04-18,34431170,1880180,680684,180350,Afghanistan
2020-04-19,34138936,2079794,752631,201023,Afghanistan
2020-04-20,33982191,2186570,791447,212176,Afghanistan
2020-04-21,33645960,2414949,875226,236249,Afghanistan
2020-04-22,33465938,2536849,920374,249222,Afghanistan
2020-04-23,33080888,2796669,1017653,277174,Afghanistan
2020-04-24,32661124,3078412,1124867,307981,Afghanistan
2020-04-25,32437784,3227643,1182435,324523,Afghanistan
2020-04-26,31963470,3542927,1305968,360019,Afghanistan
2020-04-27,31712270,3708964,1372123,379028,Afghanistan
2020-04-28,31181353,4057635,1513690,419706,Afghanistan
2020-04-29,30612073,4427955,1668241,464115,Afghanistan
2020-04-30,30312991,4620977,1750628,487788,Afghanistan
2020-05-01,29685993,5022068,1926111,538212,Afghanistan
2020-05-02,29358158,5229803,2019404,565018,Afghanistan
2020-05-03,28674159,5658679,2217583,621963,Afghanistan
2020-05-04,27952310,6104668,2431869,683537,Afghanistan
2020-05-05,27576566,6334448,2545253,716116,Afghanistan
2020-05-06,26798055,6804635,2784758,784936,Afghanistan
2020-05-07,26396567,7043663,2910956,821198,Afghanistan
2020-05-08,25572271,7526273,3176376,897464,Afghanistan
2020-05-09,24723671,8010736,3459235,978741,Afghanistan
2020-05-10,24291777,8252145,3607204,1021258,Afghanistan
2020-05-11,23415780,8730437,3916139,1110028,Afghanistan
2020-05-12,22972850,8966218,4077051,1156265,Afghanistan
2020-05-13,22080010,9428427,4411563,1252384,Afghanistan
2020-05-14,21631231,9653859,4585058,1302236,Afghanistan
2020-05-15,20731740,10091013,4944199,1405432,Afghanistan
2020-05-16,19833300,10506940,5319013,1513131,Afghanistan
2020-05-17,19385811,10705902,5512068,1568603,Afghanistan
2020-05-18,18496909,11083895,5908939,1682641,Afghanistan
2020-05-19,18056523,11262206,6112518,1741137,Afghanistan
