Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths,Territory
1/22/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/23/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/24/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/25/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/26/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/27/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/28/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/29/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/30/2020,Afghanistan,,33,65,0,0,0,Afghanistan
1/31/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/1/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/2/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/3/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/4/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/5/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/6/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/7/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/8/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/9/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/10/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/11/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/12/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/13/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/14/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/15/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/16/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/17/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/18/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/19/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/20/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/21/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/22/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/23/2020,Afghanistan,,33,65,0,0,0,Afghanistan
2/24/2020,Afghanistan,,33,65,1,0,0,Afghanistan
2/25/2020,Afghanistan,,33,65,1,0,0,Afghanistan
2/26/2020,Afghanistan,,33,65,1,0,0,Afghanistan
2/27/2020,Afghanistan,,33,65,1,0,0,Afghanistan
2/28/2020,Afghanistan,,33,65,1,0,0,Afghanistan
2/29/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/1/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/2/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/3/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/4/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/5/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/6/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/7/2020,Afghanistan,,33,65,1,0,0,Afghanistan
3/8/2020,Afghanistan,,33,65,4,0,0,Afghanistan
3/9/2020,Afghanistan,,33,65,4,0,0,Afghanistan
3/10/2020,Afghanistan,,33,65,5,0,0,Afghanistan
3/11/2020,Afghanistan,,33,65,7,0,0,Afghanistan
3/12/2020,Afghanistan,,33,65,7,0,0,Afghanistan
3/13/2020,Afghanistan,,33,65,7,0,0,Afghanistan
3/14/2020,Afghanistan,,33,65,11,0,0,Afghanistan
3/15/2020,Afghanistan,,33,65,16,0,0,Afghanistan
3/16/2020,Afghanistan,,33,65,21,1,0,Afghanistan
3/17/2020,Afghanistan,,33,65,22,1,0,Afghanistan
3/18/2020,Afghanistan,,33,65,22,1,0,Afghanistan
3/19/2020,Afghanistan,,33,65,22,1,0,Afghanistan
3/20/2020,Afghanistan,,33,65,24,1,0,Afghanistan
3/21/2020,Afghanistan,,33,65,24,1,0,Afghanistan
3/22/2020,Afghanistan,,33,65,40,1,1,Afghanistan
3/23/2020,Afghanistan,,33,65,40,1,1,Afghanistan
3/24/2020,Afghanistan,,33,65,74,1,1,Afghanistan
3/25/2020,Afghanistan,,33,65,84,2,2,Afghanistan
3/26/2020,Afghanistan,,33,65,94,2,4,Afghanistan
3/27/2020,Afghanistan,,33,65,110,2,4,Afghanistan
3/28/2020,Afghanistan,,33,65,110,2,4,Afghanistan
3/29/2020,Afghanistan,,33,65,120,2,4,Afghanistan
